action_interval,max_length,displacement
0.1,1.1,0.2989579552508513
0.1,1.15,0.5757168586162952
0.1,1.2,0.7148992173678265
0.1,1.25,0.7355662784341171
0.1,1.3,0.7417074227832492
0.1,1.35,0.7417112050565698
0.1,1.4,0.7417112050565698
0.1,1.45,0.7417112050565698
0.1,1.5,0.7417112050565698
0.1,1.55,0.7417112050565698
0.1,1.6,0.7417112050565698
0.1,1.65,0.7417112050565698
0.1,1.7,0.7417112050565698
0.1,1.75,0.7417112050565698
0.1,1.8,0.7417112050565698
0.1,1.85,0.7417112050565698
0.1,1.9,0.7417112050565698
0.1,1.95,0.7417112050565698
0.15,1.1,0.19847249796685276
0.15,1.15,0.49477474695260987
0.15,1.2,0.833827005198586
0.15,1.25,1.0843541011582347
0.15,1.3,1.2162458803915503
0.15,1.35,1.2340553362401543
0.15,1.4,1.2372438430769266
0.15,1.45,1.2371772997688577
0.15,1.5,1.2371772997688577
0.15,1.55,1.2371772997688577
0.15,1.6,1.2371772997688577
0.15,1.65,1.2371772997688577
0.15,1.7,1.2371772997688577
0.15,1.75,1.2371772997688577
0.15,1.8,1.2371772997688577
0.15,1.85,1.2371772997688577
0.15,1.9,1.2371772997688577
0.15,1.95,1.2371772997688577
0.2,1.1,0.1493505856001178
0.2,1.15,0.371851710617172
0.2,1.2,0.7155871715739351
0.2,1.25,1.094908944534305
0.2,1.3,1.4078545658024615
0.2,1.35,1.633170711582921
0.2,1.4,1.7546360825948966
0.2,1.45,1.7647370467491503
0.2,1.5,1.764193720775765
0.2,1.55,1.764193720775765
0.2,1.6,1.764193720775765
0.2,1.65,1.764193720775765
0.2,1.7,1.764193720775765
0.2,1.75,1.764193720775765
0.2,1.8,1.764193720775765
0.2,1.85,1.764193720775765
0.2,1.9,1.764193720775765
0.2,1.95,1.764193720775765
0.25,1.1,0.11940815907230944
0.25,1.15,0.2974162451020783
0.25,1.2,0.5724371242029199
0.25,1.25,0.952080780049169
0.25,1.3,1.3613017272092962
0.25,1.35,1.7161772631619847
0.25,1.4,2.000508684652552
0.25,1.45,2.2024721375190732
0.25,1.5,2.3131578042790566
0.25,1.55,2.3129510830316957
0.25,1.6,2.3092172043308974
0.25,1.65,2.3092172043308974
0.25,1.7,2.3092172043308974
0.25,1.75,2.3092172043308974
0.25,1.8,2.3092172043308974
0.25,1.85,2.3092172043308974
0.25,1.9,2.3092172043308974
0.25,1.95,2.3092172043308974
0.3,1.1,0.100281470712299
0.3,1.15,0.24901336443690436
0.3,1.2,0.4786225689402917
0.3,1.25,0.7954264299653286
0.3,1.3,1.202656429924833
0.3,1.35,1.6341433298993875
0.3,1.4,2.0183255768843558
0.3,1.45,2.3428006446538596
0.3,1.5,2.5981712075096657
0.3,1.55,2.7779839961641115
0.3,1.6,2.8771036826877054
0.3,1.65,2.8653514131890154
0.3,1.7,2.859162671174681
0.3,1.75,2.859162671174681
0.3,1.8,2.859162671174681
0.3,1.85,2.859162671174681
0.3,1.9,2.859162671174681
0.3,1.95,2.859162671174681
0.35,1.1,0.08601327216991056
0.35,1.15,0.2135603736289311
0.35,1.2,0.4103915834243534
0.35,1.25,0.6819461102286485
0.35,1.3,1.03106230136737
0.35,1.35,1.4581369491611362
0.35,1.4,1.9020416553116408
0.35,1.45,2.3034731830083524
0.35,1.5,2.6519449951580145
0.35,1.55,2.9401699763890607
0.35,1.6,3.1627085429252673
0.35,1.65,3.3175417856670357
0.35,1.7,3.3982152765436724
0.35,1.75,3.3744811679836677
0.35,1.8,3.367195294921109
0.35,1.85,3.367195294921109
0.35,1.9,3.367195294921109
0.35,1.95,3.367195294921109
0.4,1.1,0.07451678457517613
0.4,1.15,0.18575630835720935
0.4,1.2,0.3576529122936219
0.4,1.25,0.5949418099829787
0.4,1.3,0.9000951188346304
0.4,1.35,1.2735428726498268
0.4,1.4,1.714212589805835
0.4,1.45,2.168895581057891
0.4,1.5,2.5844599072748644
0.4,1.55,2.9522559295370834
0.4,1.6,3.2667963224644923
0.4,1.65,3.523381558960027
0.4,1.7,3.7195783277772474
0.4,1.75,3.8544402056458957
0.4,1.8,3.9248943358503046
0.4,1.85,3.8890317999387585
0.4,1.9,3.8790272632233216
0.4,1.95,3.8790272632233216
0.45,1.1,0.0654507580509749
0.45,1.15,0.16402263105059384
0.45,1.2,0.3165497754133407
0.45,1.25,0.5272359112371262
0.45,1.3,0.7982992263843007
0.45,1.35,1.1300814506788366
0.45,1.4,1.5217210327536164
0.45,1.45,1.970976437060403
0.45,1.5,2.431234154686934
0.45,1.55,2.8549960489794213
0.45,1.6,3.2351322393634683
0.45,1.65,3.566510078536211
0.45,1.7,3.8458378619602107
0.45,1.75,4.070532973835088
0.45,1.8,4.240729311561541
0.45,1.85,4.355712681091775
0.45,1.9,4.41605268348301
0.45,1.95,4.365042728581416
0.5,1.1,0.059536507262959455
0.5,1.15,0.1485484986738815
0.5,1.2,0.28606039923366455
0.5,1.25,0.47589263577273005
0.5,1.3,0.7200342238138696
0.5,1.35,1.0187993417284689
0.5,1.4,1.3714102104235704
0.5,1.45,1.7758136606371278
0.5,1.5,2.228957046816508
0.5,1.55,2.687971070371289
0.5,1.6,3.112214491765578
0.5,1.65,3.4958895202887237
0.5,1.7,3.834427771471095
0.5,1.75,4.125197495952004
0.5,1.8,4.3672520675878195
0.5,1.85,4.5613162038903
0.5,1.9,4.699746414557151
0.5,1.95,4.793336199684126
0.55,1.1,0.053345788406697646
0.55,1.15,0.13393422202585314
0.55,1.2,0.25864356112941644
0.55,1.25,0.43095658683690036
0.55,1.3,0.6526325304376487
0.55,1.35,0.9240125121427855
0.55,1.4,1.2443393697102327
0.55,1.45,1.6118103788317202
0.55,1.5,2.023534651312977
0.55,1.55,2.476302754221589
0.55,1.6,2.9328606574208185
0.55,1.65,3.3559306135768168
0.55,1.7,3.73986482170084
0.55,1.75,4.083393795205639
0.55,1.8,4.382707625353037
0.55,1.85,4.636174266726104
0.55,1.9,4.843458375518797
0.55,1.95,5.00493621638314
0.6,1.1,0.04879799113871408
0.6,1.15,0.12261227161483791
0.6,1.2,0.23687374927381052
0.6,1.25,0.39475921183655244
0.6,1.3,0.5978838642480272
0.6,1.35,0.8465594830708746
0.6,1.4,1.1400884908783888
0.6,1.45,1.4768120035357881
0.6,1.5,1.854119980959857
0.6,1.55,2.2689802643321477
0.6,1.6,2.717179397991606
0.6,1.65,3.1658026925686733
0.6,1.7,3.5824734992035263
0.6,1.75,3.963108355458487
0.6,1.8,4.304274524422098
0.6,1.85,4.60477313681931
0.6,1.9,4.8624134542851225
0.6,1.95,5.078101606234793
0.65,1.1,0.044953866774560536
0.65,1.15,0.1130851184768834
0.65,1.2,0.21855318423687417
0.65,1.25,0.3642753140200592
0.65,1.3,0.551782809881355
0.65,1.35,0.7813438280150903
0.65,1.4,1.0523047929212683
0.65,1.45,1.3631461945263146
0.65,1.5,1.7114244215320156
0.65,1.55,2.0944197475046438
0.65,1.6,2.508188937865082
0.65,1.65,2.948485112695547
0.65,1.7,3.386358138196629
0.65,1.75,3.793101751782905
0.65,1.8,4.165506319624434
0.65,1.85,4.50099176391982
0.65,1.9,4.797862954089739
0.65,1.95,5.054547077342709
0.7,1.1,0.04241170822185376
0.7,1.15,0.10595536360149678
0.7,1.2,0.20415223950460828
