Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_length_0,arm_length_1,arm_length_2
3.5,0.787013,0.148208,0,-0.179018,0.405597,0,-0.481472,-0.651431,0,3.15304,-0.619514,3.71474,1.49849,0.999732,1.09845
3.6,0.769904,0.136984,0,-0.174155,0.466031,0,-0.479552,-0.693889,0,-1.54149,0.552337,5.04048,1.5005,0.99976,1.19845
3.7,0.74959,0.126801,0,-0.167374,0.52524,0,-0.477592,-0.73664,0,-1.46382,0.264431,4.79366,1.5005,0.999788,1.29845
3.8,0.726437,0.117969,0,-0.158561,0.583167,0,-0.475831,-0.779848,0,-1.4453,3.26305e-05,4.63423,1.50051,0.999815,1.39845
3.9,0.653561,0.0770294,0,-0.153952,0.66675,0,-0.433097,-0.806504,0,-6.07198,-0.517648,5.98873,1.40152,0.999922,1.49847
4,0.60512,0.0436107,0,-0.15611,0.692017,0,-0.393468,-0.789562,0,-4.78732,-0.255699,1.46199,1.30152,0.999951,1.50047
4.1,0.554949,0.0114997,0,-0.155936,0.714779,0,-0.354188,-0.772544,0,-5.03089,-0.542355,1.53741,1.20152,0.999979,1.50048
4.2,0.501954,-0.0190522,0,-0.152889,0.7354,0,-0.315143,-0.756284,0,-5.39625,-0.877991,1.69205,1.10153,0.999008,1.50048
4.3,0.488816,-0.0511719,0,-0.163732,0.705266,0,-0.280976,-0.690304,0,-4.12319,0.683518,-3.36278,1.00153,0.999008,1.40149
4.4,0.525997,-0.0546014,0,-0.175919,0.656297,0,-0.284454,-0.639652,0,1.15074,1.14938,-4.77373,0.999557,0.999031,1.30149
4.5,0.559713,-0.0574103,0,-0.186395,0.60699,0,-0.286598,-0.589307,0,0.879329,0.877709,-4.80585,0.999578,0.999051,1.20149
4.6,0.589957,-0.0599274,0,-0.19544,0.557562,0,-0.287314,-0.539083,0,0.656549,0.6546,-4.95019,0.999597,0.99907,1.10149
4.7,0.69831,-0.068951,0,-0.235543,0.510717,0,-0.319087,-0.486275,0,4.57651,4.57533,-5.99119,1.09866,1.09813,1.00149
4.8,0.776869,-0.0754961,0,-0.267986,0.512914,0,-0.351442,-0.483082,0,3.76711,3.76803,-0.684623,1.19867,1.19815,0.999486
4.9,0.77345,-0.128808,0,-0.329964,0.556968,0,-0.280878,-0.441401,0,-6.15572,5.80437,-0.995377,1.10069,1.29816,0.999573
5,0.771871,-0.18373,0,-0.39244,0.592182,0,-0.206341,-0.390013,0,-7.09142,6.33201,-2.26895,1.00073,1.39816,0.999669
5.1,0.792982,-0.207789,0,-0.433694,0.654053,0,-0.184599,-0.417042,0,-0.619515,3.15365,3.71453,0.999726,1.49817,1.09868
5.2,0.776438,-0.195736,0,-0.429658,0.696368,0,-0.182751,-0.477631,0,0.550477,-1.54037,5.03922,0.999754,1.50017,1.19868
5.3,0.756642,-0.184563,0,-0.425567,0.738972,0,-0.178925,-0.537094,0,0.262799,-1.46312,4.79283,0.999782,1.50018,1.29868
5.4,0.733942,-0.174597,0,-0.42165,0.782043,0,-0.173009,-0.59538,0,-0.00148522,-1.44494,4.63374,0.999809,1.50018,1.39868
5.5,0.663174,-0.130082,0,-0.37764,0.806537,0,-0.172556,-0.679071,0,-0.520658,-6.07278,5.98903,0.999916,1.4012,1.4987
5.6,0.616451,-0.0942891,0,-0.338911,0.787639,0,-0.175957,-0.70419,0,-0.25731,-4.78823,1.46258,0.999945,1.3012,1.5007
5.7,0.592637,-0.0619949,0,-0.304114,0.7357,0,-0.185442,-0.690078,0,0.332643,-3.96746,-1.87494,0.999948,1.2012,1.43141
5.8,0.568971,-0.0301558,0,-0.268901,0.682877,0,-0.194598,-0.675806,0,0.356723,-4.23943,-2.02831,0.99995,1.1012,1.36141
5.9,0.55581,0.000956165,0,-0.234474,0.614045,0,-0.206346,-0.646361,0,0.742163,-4.32745,-3.73859,0.999951,1.00121,1.26172
6,0.587706,0.00198915,0,-0.238686,0.563721,0,-0.213223,-0.59672,0,0.785769,0.783331,-4.84915,0.99997,0.999233,1.16172
6.1,0.658183,0.0343056,0,-0.231071,0.490206,0,-0.26087,-0.57011,0,5.66702,-0.173317,-5.76271,1.09899,0.999308,1.06173
6.2,0.71303,0.0670608,0,-0.217166,0.432385,0,-0.308113,-0.563224,0,4.80778,-0.871251,-0.872461,1.199,0.999363,0.999754
6.3,0.752275,0.0986872,0,-0.199443,0.403648,0,-0.35397,-0.584112,0,4.77258,-1.14096,-1.14197,1.299,0.999383,0.999775
6.4,0.79061,0.131788,0,-0.17962,0.371513,0,-0.400735,-0.603528,0,4.85552,-1.48485,-1.4857,1.399,0.999406,0.999798
6.5,0.812567,0.155085,0,-0.156929,0.397759,0,-0.444132,-0.663885,0,3.15151,-0.618793,3.71291,1.499,0.999406,1.09881
6.6,0.795223,0.143258,0,-0.153159,0.458602,0,-0.441119,-0.706139,0,-1.54071,0.550248,5.03913,1.50001,0.999435,1.19881
6.7,0.77504,0.132785,0,-0.147248,0.517896,0,-0.438524,-0.748859,0,-1.46351,0.262468,4.79283,1.50001,0.999463,1.29881
6.8,0.751996,0.12362,0,-0.139288,0.57594,0,-0.43612,-0.792038,0,-1.44542,-0.0019359,4.63385,1.50002,0.99949,1.39881
6.9,0.679693,0.0816109,0,-0.135885,0.659563,0,-0.393003,-0.818058,0,-6.07424,-0.522555,5.99019,1.40103,0.999597,1.49882
7,0.631734,0.047475,0,-0.13839,0.684784,0,-0.353643,-0.80053,0,-4.78916,-0.258704,1.46366,1.30103,0.999626,1.50083
7.1,0.58202,0.0146209,0,-0.138521,0.707534,0,-0.314631,-0.782934,0,-5.03359,-0.545917,1.53986,1.20103,0.999654,1.50084
7.2,0.529942,-0.0170594,0,-0.136134,0.7284,0,-0.275836,-0.765924,0,-5.39763,-0.879119,1.69186,1.10103,0.999683,1.50084
7.3,0.517285,-0.0493729,0,-0.14652,0.698109,0,-0.242655,-0.699433,0,-4.12543,0.684785,-3.36336,1.00104,0.999683,1.40184
7.4,0.554521,-0.0522693,0,-0.15798,0.648983,0,-0.246892,-0.64882,0,1.14998,1.15163,-4.77363,0.999067,0.999705,1.30184
7.5,0.588281,-0.0546002,0,-0.167726,0.599545,0,-0.249786,-0.598493,0,0.878179,0.880142,-4.80543,0.999087,0.999726,1.20184
7.6,0.618565,-0.0566941,0,-0.176042,0.55001,0,-0.251247,-0.548263,0,0.654978,0.657341,-4.94941,0.999106,0.999745,1.10184
7.7,0.727048,-0.0641879,0,-0.21545,0.502627,0,-0.283802,-0.495881,0,4.57589,4.57733,-5.99069,1.09817,1.09881,1.00184
7.8,0.805699,-0.0696176,0,-0.247916,0.504373,0,-0.316205,-0.493137,0,3.76837,3.76726,-0.685294,1.19818,1.19882,0.999845
7.9,0.803061,-0.122985,0,-0.310512,0.547474,0,-0.246247,-0.450391,0,-6.15796,5.80465,-1.00103,1.1002,1.29883,0.999932
8,0.802454,-0.178037,0,-0.373542,0.581292,0,-0.172432,-0.397285,0,-7.10324,6.34099,-2.28134,1.00024,1.39884,0.999028
8.1,0.823938,-0.201769,0,-0.415702,0.642519,0,-0.150276,-0.423986,0,-0.618841,3.1515,3.71477,0.999236,1.49884,1.09804
8.2,0.807264,-0.189919,0,-0.412281,0.684869,0,-0.147567,-0.484585,0,0.556061,-1.54437,5.04328,0.999264,1.50085,1.19804
8.3,0.787346,-0.179,0,-0.408813,0.727511,0,-0.142892,-0.544022,0,0.2675,-1.46588,4.79559,0.999292,1.50085,1.29804
8.4,0.764542,-0.169333,0,-0.405531,0.770616,0,-0.136139,-0.602246,0,0.00266619,-1.44675,4.63554,0.999319,1.50086,1.39804
8.5,0.693185,-0.125816,0,-0.361889,0.795735,0,-0.134509,-0.685975,0,-0.513957,-6.07247,5.98982,0.999426,1.40187,1.49806
8.6,0.645963,-0.0906994,0,-0.322884,0.777404,0,-0.137574,-0.711168,0,-0.254296,-4.78686,1.46225,0.999456,1.30187,1.50006
8.7,0.621674,-0.058763,0,-0.287317,0.725987,0,-0.14729,-0.697207,0,0.332979,-3.96598,-1.87527,0.999458,1.20187,1.43077
8.8,0.597541,-0.027279,0,-0.251321,0.673693,0,-0.156677,-0.683082,0,0.356932,-4.23746,-2.02873,0.999461,1.10188,1.36077
