Wall time,Step,Value
1631695703.0060427,32768,25.785778045654297
1631696038.0753534,65536,25.726768493652344
1631696373.0689573,98304,25.670093536376953
1631696708.814382,131072,25.57269287109375
1631697044.111859,163840,26.070125579833984
1631697380.012443,196608,25.888132095336914
1631697715.6100984,229376,25.880817413330078
1631698051.468004,262144,25.89657211303711
1631698387.4977906,294912,25.64618682861328
1631698723.5169785,327680,26.05559539794922
1631699058.9998772,360448,25.877317428588867
1631699394.145379,393216,25.558137893676758
1631699730.4281466,425984,26.294628143310547
1631700065.9565177,458752,26.149723052978516
1631700401.9643605,491520,25.67686653137207
1631700737.899651,524288,25.90813636779785
1631701072.477597,557056,26.221708297729492
1631701408.186816,589824,25.832298278808594
1631701744.0964,622592,26.075456619262695
1631702080.3518775,655360,26.075645446777344
1631702416.3871448,688128,26.36184310913086
1631702752.3573747,720896,25.983333587646484
1631703088.2320933,753664,26.156335830688477
1631703423.194982,786432,25.64897346496582
1631703759.5870159,819200,26.629682540893555
1631704095.9944859,851968,26.824874877929688
1631704431.5592966,884736,26.989168167114258
1631704766.9994564,917504,26.606468200683594
1631705103.9971461,950272,26.864377975463867
1631705440.0023813,983040,27.05851173400879
1631705776.1667302,1015808,26.58259391784668
