Wall time,Step,Value
1631674856.7034528,32768,0.33683574199676514
1631675191.6732223,65536,-0.27037718892097473
1631675527.4948037,98304,0.7165685296058655
1631675863.0119748,131072,1.1989117860794067
1631676198.7208211,163840,2.886963129043579
1631676533.7640524,196608,2.8356082439422607
1631676868.5984607,229376,4.951650619506836
1631677203.3017094,262144,6.5404744148254395
1631677539.0823896,294912,6.702385902404785
1631677875.6782343,327680,10.037035942077637
1631678211.798819,360448,9.776538848876953
1631678547.1949506,393216,11.982731819152832
1631678882.9301867,425984,13.16443157196045
1631679218.45238,458752,13.96213436126709
1631679553.9466362,491520,15.533858299255371
1631679889.278109,524288,16.911291122436523
1631680224.6859453,557056,17.306316375732422
1631680560.3596816,589824,18.903148651123047
1631680897.0825744,622592,19.6834774017334
1631681232.9428859,655360,20.11441421508789
1631681568.0429676,688128,20.99504852294922
1631681903.3955884,720896,21.48695182800293
1631682239.471016,753664,21.45728874206543
1631682576.3739488,786432,21.88447380065918
1631682914.393791,819200,22.412851333618164
1631683250.2312999,851968,22.046606063842773
1631683585.1589155,884736,22.138723373413086
1631683920.767366,917504,22.921430587768555
1631684256.9874732,950272,23.00850486755371
1631684592.9004426,983040,23.24376106262207
1631684928.9443965,1015808,23.396093368530273
