Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_length_0,arm_length_1,arm_length_2
3.5,0.79504,-0.117705,0,-0.513832,0.614411,0,-0.156188,-0.424819,0,-0.619362,3.15234,3.71528,0.999577,1.49871,1.09805
3.6,0.777385,-0.107375,0,-0.514138,0.656905,0,-0.148174,-0.484934,0,0.554738,-1.54301,5.04238,0.999605,1.50072,1.19805
3.7,0.756582,-0.0982555,0,-0.514421,0.699693,0,-0.138307,-0.543721,0,0.266482,-1.4648,4.79493,0.999633,1.50072,1.29805
3.8,0.733015,-0.090635,0,-0.514929,0.742927,0,-0.126477,-0.601119,0,0.00187879,-1.44587,4.63504,0.99966,1.50073,1.39805
3.9,0.658119,-0.0535546,0,-0.47365,0.77178,0,-0.117516,-0.684369,0,-0.5144,-6.07152,5.98877,0.999767,1.40174,1.49807
4,0.608003,-0.0227172,0,-0.433184,0.756938,0,-0.118364,-0.709727,0,-0.25411,-4.78664,1.46151,0.999796,1.30174,1.50007
4.1,0.579174,0.00696774,0,-0.393249,0.711369,0,-0.128362,-0.699427,0,0.277387,-4.03921,-1.61667,0.9998,1.20174,1.43609
4.2,0.550499,0.0361851,0,-0.35292,0.665055,0,-0.137969,-0.688811,0,0.28846,-4.30298,-1.75241,0.999803,1.10175,1.37147
4.3,0.534327,0.0659171,0,-0.311895,0.600167,0,-0.152507,-0.660627,0,0.736736,-4.30993,-3.7082,0.999803,1.00176,1.27183
4.4,0.566292,0.0702631,0,-0.311047,0.549671,0,-0.164606,-0.611965,0,0.807238,0.807088,-4.83619,0.999823,0.999777,1.17183
4.5,0.633506,0.109821,0,-0.296331,0.477394,0,-0.214691,-0.590332,0,5.67785,-0.125623,-5.74594,1.09884,0.999853,1.07184
4.6,0.687096,0.148814,0,-0.276445,0.416049,0,-0.263182,-0.583726,0,4.80755,-0.870758,-0.870603,1.19885,0.999913,0.999863
