Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_length_0,arm_length_1,arm_length_2
3.5,1.08421,-0.236625,0,-0.170137,0.586362,0,-0.711043,-0.37116,0,7.23822,-6.7997,-6.54892,1.79929,1.50123,1.10074
3.6,1.11718,-0.181829,0,-0.134627,0.445786,0,-0.778108,-0.319573,0,9.84129,-9.64454,-9.68432,1.89929,1.40133,1.00092
3.7,1.09402,-0.149441,0,-0.087784,0.392962,0,-0.799515,-0.309439,0,3.13718,-6.14665,-2.2933,1.90029,1.30134,0.999963
3.8,1.07223,-0.115247,0,-0.041473,0.332539,0,-0.819639,-0.293951,0,4.13317,-7.25133,-3.39481,1.90029,1.20135,0.999014
3.9,1.05168,-0.0781193,0,0.00528515,0.262308,0,-0.838651,-0.272417,0,6.15882,-9.42515,-5.50187,1.90029,1.10138,0.999078
4,1.03246,-0.0338906,0,0.0534559,0.172111,0,-0.856575,-0.240438,0,12.284,-15.7634,-11.6777,1.90029,1.00144,0.999175
4.1,1.02176,-0.0687336,0,0.0813978,0.270071,0,-0.865884,-0.287586,0,-6.24175,5.58714,9.51408,1.90029,0.999535,1.09824
4.2,1.00791,-0.093979,0,0.111808,0.348969,0,-0.877873,-0.328355,0,-4.16658,3.43134,7.28917,1.90029,0.999599,1.19826
4.3,0.991469,-0.113171,0,0.14431,0.41751,0,-0.891881,-0.366347,0,-3.16197,2.32157,6.17413,1.90029,0.99965,1.29828
4.4,0.972805,-0.127791,0,0.17859,0.479341,0,-0.907454,-0.402992,0,-2.58899,1.62087,5.51506,1.90029,0.999693,1.39829
4.5,0.918539,-0.19285,0,0.182743,0.624663,0,-0.863367,-0.449493,0,-7.27319,6.59525,6.83947,1.80129,1.09887,1.49838
4.6,0.862026,-0.246948,0,0.191589,0.748282,0,-0.820809,-0.489971,0,-6.1855,5.04336,5.54288,1.70129,1.19899,1.59844
4.7,0.854154,-0.306463,0,0.131357,0.774061,0,-0.74005,-0.446217,0,-3.8544,5.31948,-3.55304,1.60132,1.29899,1.50048
4.8,0.845924,-0.366586,0,0.0701214,0.798787,0,-0.654082,-0.398787,0,-4.29006,5.48105,-4.06089,1.50135,1.39899,1.40052
4.9,0.933894,-0.410296,0,0.0100131,0.771454,0,-0.664905,-0.339058,0,3.85957,3.56085,-5.32086,1.59939,1.49903,1.30052
5,1.01649,-0.450555,0,-0.049043,0.743112,0,-0.675339,-0.279923,0,3.55229,3.17678,-5.29808,1.69941,1.59906,1.20052
5.1,1.05723,-0.408334,0,-0.0348026,0.620178,0,-0.734171,-0.228393,0,7.24001,-6.80175,-6.55127,1.79941,1.50112,1.10063
5.2,1.09923,-0.360101,0,-0.0243035,0.475534,0,-0.791233,-0.165904,0,9.84624,-9.64978,-9.68992,1.89941,1.40122,1.00081
5.3,1.08207,-0.324177,0,0.0126319,0.415346,0,-0.810545,-0.152184,0,3.1399,-6.14929,-2.2962,1.90041,1.30123,0.999855
5.4,1.0664,-0.28686,0,0.0480827,0.348434,0,-0.827837,-0.133826,0,4.12411,-7.2431,-3.38624,1.90041,1.20124,0.999905
5.5,1.05263,-0.246729,0,0.0818946,0.271217,0,-0.842818,-0.109369,0,6.13856,-9.40587,-5.48215,1.90041,1.10127,0.999969
5.6,1.04155,-0.199521,0,0.113213,0.17311,0,-0.854736,-0.0743032,0,12.3267,-15.8061,-11.7204,1.90041,1.00133,0.999067
5.7,1.02496,-0.232028,0,0.15778,0.26482,0,-0.872102,-0.119148,0,-6.25288,5.59832,9.52515,1.90042,0.999427,1.09813
5.8,1.00693,-0.254509,0,0.201457,0.337271,0,-0.890997,-0.157221,0,-4.17151,3.43639,7.29402,1.90042,0.999492,1.19816
5.9,0.987402,-0.270568,0,0.245392,0.399138,0,-0.911398,-0.192201,0,-3.16472,2.3245,6.17679,1.90042,0.999543,1.29817
6,0.966482,-0.281734,0,0.289909,0.45408,0,-0.933107,-0.225579,0,-2.59072,1.62282,5.5167,1.90042,0.999586,1.39818
6.1,0.901723,-0.336377,0,0.319283,0.596496,0,-0.897783,-0.279052,0,-7.275,6.59762,6.84153,1.80142,1.09877,1.49828
6.2,0.83666,-0.379826,0,0.349503,0.71671,0,-0.862916,-0.326323,0,-6.18634,5.0447,5.54394,1.70142,1.19888,1.59834
6.3,0.818552,-0.437056,0,0.294672,0.752582,0,-0.775778,-0.297297,0,-3.85456,5.31953,-3.55245,1.60144,1.29888,1.50037
6.4,0.799989,-0.494823,0,0.238669,0.787591,0,-0.68287,-0.265556,0,-4.29006,5.48098,-4.06031,1.50148,1.39888,1.40041
6.5,0.879015,-0.55316,0,0.174718,0.771126,0,-0.683139,-0.204863,0,3.85973,3.56026,-5.32091,1.59951,1.49892,1.30041
6.6,0.95335,-0.607163,0,0.111627,0.753484,0,-0.68313,-0.144821,0,3.55259,3.17613,-5.29824,1.69954,1.59896,1.20041
6.7,1.00081,-0.572667,0,0.10426,0.629929,0,-0.732099,-0.0838344,0,7.24178,-6.80377,-6.55359,1.79954,1.50101,1.10052
6.8,1.05057,-0.532466,0,0.0894282,0.485631,0,-0.777416,-0.012356,0,9.85115,-9.65498,-9.69548,1.89954,1.40111,1.0007
6.9,1.03992,-0.494105,0,0.115327,0.419919,0,-0.79404,0.00452982,0,3.14261,-6.1519,-2.29908,1.90054,1.30112,0.999748
7,1.03099,-0.454629,0,0.138593,0.347834,0,-0.807866,0.025635,0,4.12893,-7.24783,-3.39118,1.90054,1.20113,0.999798
7.1,1.02441,-0.412703,0,0.158447,0.265867,0,-0.818352,0.0523519,0,6.14929,-9.41654,-5.49294,1.90054,1.10116,0.999862
7.2,1.0215,-0.36458,0,0.172802,0.164714,0,-0.824247,0.0884822,0,12.2459,-15.7265,-11.6403,1.90054,1.00122,0.999958
