Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_extensile_velocity_0,arm_extensile_velocity_1,arm_extensile_velocity_2,arm_length_0,arm_length_1,arm_length_2
3.1,0.68842,0.200722,0,-0.385878,0.441333,0,-0.289697,-0.654182,0,1.80966,-1.40415,-1.40308,1,-1,-1,1.29807,1.10191,1.10073
3.2,0.690522,0.27421,0,-0.307486,0.351807,0,-0.362897,-0.646492,0,2.24823,-1.86953,-1.86874,1,1,-1,1.39807,1.00202,1.00083
3.3,0.731227,0.256242,0,-0.364592,0.363148,0,-0.347241,-0.636564,0,-0.422087,1.23028,0.0785854,1,1,-1,1.40007,1.10002,0.999863
3.4,0.771949,0.238087,0,-0.421575,0.372097,0,-0.331454,-0.623723,0,-0.405286,1.21423,0.00579984,1,1,-1,1.40008,1.20002,0.999889
3.5,0.812983,0.219961,0,-0.478342,0.378531,0,-0.315966,-0.608113,0,-0.402463,1.21155,-0.0618683,1,1,-1,1.40008,1.30002,0.999916
3.6,0.853901,0.201847,0,-0.534421,0.382489,0,-0.300891,-0.589802,0,0,0,0,-1,1,-1,1.40009,1.40002,0.999943
3.7,0.82539,0.166769,0,-0.556394,0.392067,0,-0.252237,-0.560523,0,-1.21157,0.402459,0.0626359,-1,1,-1,1.30109,1.40003,0.999969
3.8,0.797067,0.131979,0,-0.577282,0.398943,0,-0.204589,-0.529007,0,-1.2141,0.405102,-0.00497453,-1,1,-1,1.20109,1.40004,0.999996
3.9,0.769192,0.0972939,0,-0.597128,0.402733,0,-0.158072,-0.494639,0,-1.23036,0.422426,-0.0782802,-1,1,-1,1.10109,1.40004,0.999023
4,0.741543,0.0625481,0,-0.616121,0.404429,0,-0.112248,-0.458248,0,-1.26322,0.456383,-0.16149,-1,-1,-1,1.00109,1.40005,0.99905
4.1,0.696034,0.0873042,0,-0.564575,0.405093,0,-0.119769,-0.489498,0,0.372816,-1.2843,0.372788,-1,-1,-1,0.999117,1.30105,0.999072
4.2,0.650353,0.110638,0,-0.51329,0.403982,0,-0.126785,-0.517321,0,0.307959,-1.24179,0.307925,-1,-1,-1,0.999138,1.20105,0.999093
4.3,0.604298,0.132487,0,-0.46238,0.401386,0,-0.132973,-0.541862,0,0.256732,-1.21545,0.25669,-1,-1,-1,0.999157,1.10105,0.999112
4.4,0.557921,0.153059,0,-0.411791,0.397512,0,-0.138428,-0.563494,0,0.214951,-1.20202,0.2149,1,-1,-1,0.999174,1.00105,0.999129
4.5,0.586121,0.195118,0,-0.395318,0.381963,0,-0.179467,-0.593589,0,1.21491,-0.25537,-0.255445,1,-1,-1,1.09817,0.999066,0.999147
4.6,0.613844,0.237892,0,-0.377203,0.364374,0,-0.221396,-0.622569,0,1.24082,-0.306267,-0.306328,1,-1,-1,1.19817,0.999085,0.999166
4.7,0.640471,0.28173,0,-0.356665,0.344435,0,-0.264421,-0.650485,0,1.28277,-0.370619,-0.370669,1,-1,-1,1.29817,0.999105,0.999186
4.8,0.665793,0.326834,0,-0.333323,0.321773,0,-0.308751,-0.677134,0,1.34694,-0.455261,-0.455303,0.717,1,-1,1.39817,0.999128,0.999209
4.9,0.70792,0.312452,0,-0.391096,0.328371,0,-0.294109,-0.666147,0,-0.423409,1.23119,0.0810291,0.717,1,-1,1.40061,1.09813,0.999236
5,0.74997,0.297693,0,-0.448651,0.33269,0,-0.279382,-0.652132,0,-0.406118,1.2147,0.00790647,0.717,1,-1,1.40062,1.19813,0.999262
5.1,0.792329,0.282997,0,-0.505782,0.334512,0,-0.265184,-0.63538,0,-0.4029,1.21167,-0.0599606,0.717,1,-1,1.40063,1.29813,0.999289
5.2,0.835002,0.26816,0,-0.562586,0.333899,0,-0.251487,-0.615759,0,-0.412487,1.2207,-0.126619,-1,1,-1,1.40063,1.39813,0.999316
5.3,0.809886,0.230726,0,-0.585855,0.34163,0,-0.20524,-0.582394,0,-1.21175,0.402839,0.0627136,-1,1,-1,1.30163,1.40014,0.999344
5.4,0.784506,0.193746,0,-0.607253,0.346771,0,-0.160314,-0.547089,0,-1.21426,0.405482,-0.00498505,-1,1,-1,1.20163,1.40015,0.99937
5.5,0.759408,0.156904,0,-0.627449,0.349396,0,-0.116527,-0.50953,0,-1.23012,0.422093,-0.0777344,-1,1,-1,1.10163,1.40015,0.999397
5.6,0.734695,0.120007,0,-0.646518,0.349551,0,-0.0738382,-0.469525,0,-1.26283,0.455892,-0.160798,-1,-1,-1,1.00164,1.40016,0.999424
5.7,0.687313,0.140943,0,-0.595198,0.354425,0,-0.0787756,-0.501263,0,0.372501,-1.28399,0.372369,-1,-1,-1,0.99966,1.30116,0.999447
5.8,0.639876,0.160451,0,-0.543993,0.35751,0,-0.0834916,-0.529549,0,0.307765,-1.24158,0.307604,-1,-1,-1,0.99968,1.20116,0.999467
5.9,0.592188,0.17845,0,-0.493039,0.359085,0,-0.0876526,-0.554499,0,0.256625,-1.21531,0.256428,-1,-1,-1,0.999699,1.10116,0.999486
6,0.544285,0.195153,0,-0.4423,0.359361,0,-0.0913221,-0.576492,0,0.214913,-1.20191,0.214671,1,-1,-1,0.999716,1.00116,0.999503
6.1,0.568947,0.239386,0,-0.424609,0.345202,0,-0.129759,-0.609841,0,1.21492,-0.255372,-0.255694,1,-1,-1,1.09872,0.999174,0.999521
6.2,0.593073,0.284293,0,-0.405113,0.329144,0,-0.169175,-0.64215,0,1.24088,-0.306307,-0.306571,1,-1,-1,1.19872,0.999193,0.99954
6.3,0.616019,0.330171,0,-0.38301,0.310942,0,-0.209769,-0.673491,0,1.28286,-0.370699,-0.370915,1,-1,-1,1.29872,0.999214,0.99956
6.4,0.637559,0.377205,0,-0.357888,0.290258,0,-0.251767,-0.703677,0,1.34708,-0.455388,-0.455566,1,1,-1,1.39872,0.999237,0.999583
6.5,0.680636,0.36611,0,-0.416116,0.292199,0,-0.237897,-0.691396,0,-0.42318,1.23104,0.0808143,1,1,-1,1.40072,1.09824,0.99961
6.6,0.723756,0.354839,0,-0.473826,0.291793,0,-0.224376,-0.67622,0,-0.405935,1.21459,0.00775575,1,1,-1,1.40073,1.19824,0.999637
6.7,0.76718,0.343655,0,-0.530908,0.288936,0,-0.211604,-0.658361,0,-0.402744,1.21158,-0.0600598,1,1,-1,1.40073,1.29824,0.999663
6.8,0.810927,0.332356,0,-0.587467,0.283679,0,-0.199566,-0.637685,0,-0.412343,1.22062,-0.126672,-1,1,-1,1.40074,1.39824,0.99969
6.9,0.788959,0.292987,0,-0.611286,0.289486,0,-0.156208,-0.60065,0,-1.21166,0.402684,0.0628106,-1,1,-1,1.30174,1.40025,0.999718
7,0.766689,0.25405,0,-0.633028,0.292865,0,-0.114325,-0.56179,0,-1.21416,0.405301,-0.00483692,-1,1,-1,1.20174,1.40026,0.999744
7.1,0.744688,0.215274,0,-0.653367,0.293838,0,-0.0737627,-0.52078,0,-1.22998,0.421867,-0.077523,-1,1,-1,1.10174,1.40026,0.999771
7.2,0.723075,0.176474,0,-0.672381,0.292442,0,-0.0344925,-0.477425,0,-1.26263,0.455593,-0.1605,-1,-1,-1,1.00175,1.40027,0.999798
7.3,0.674136,0.193465,0,-0.621635,0.30149,0,-0.0368118,-0.50945,0,0.372264,-1.28386,0.372296,-1,-1,-1,0.999768,1.30127,0.999821
7.4,0.625259,0.209029,0,-0.570858,0.308746,0,-0.0391918,-0.53802,0,0.307559,-1.24149,0.307599,-1,-1,-1,0.999789,1.20127,0.999841
7.5,0.576255,0.223069,0,-0.520208,0.314479,0,-0.0412908,-0.563222,0,0.256429,-1.21524,0.256478,-1,-1,-1,0.999807,1.10127,0.99986
7.6,0.527141,0.235798,0,-0.469667,0.318902,0,-0.0431407,-0.585438,0,0.214711,-1.20186,0.214771,1,-1,-1,0.999825,1.00127,0.999877
7.7,0.548102,0.281905,0,-0.450885,0.306234,0,-0.0787147,-0.621818,0,1.21486,-0.255176,-0.255745,1,-1,-1,1.09883,0.999283,0.999895
7.8,0.568475,0.32864,0,-0.430149,0.291823,0,-0.115348,-0.657244,0,1.24078,-0.306101,-0.306567,1,-1,-1,1.19883,0.999302,0.999914
7.9,0.587591,0.376245,0,-0.406639,0.275491,0,-0.153234,-0.691802,0,1.28272,-0.370462,-0.370845,1,-1,-1,1.29883,0.999322,0.999934
8,0.605211,0.424886,0,-0.37992,0.256933,0,-0.192613,-0.725325,0,1.34687,-0.455089,-0.455403,1,1,-1,1.39883,0.999345,0.999957
8.1,0.649055,0.417352,0,-0.438104,0.254101,0,-0.179804,-0.711948,0,-0.422952,1.2309,0.0805998,1,1,-1,1.40083,1.09835,0.999984
8.2,0.693048,0.409777,0,-0.495402,0.248453,0,-0.167821,-0.695323,0,-0.406358,1.2148,0.00807217,1,1,-1,1.40084,1.19835,0.99901
8.3,0.737233,0.402195,0,-0.55207,0.240924,0,-0.156536,-0.676479,0,-0.403109,1.21175,-0.0598451,1,1,-1,1.40084,1.29835,0.999037
8.4,0.781749,0.394525,0,-0.608018,0.231043,0,-0.146216,-0.654885,0,-0.412678,1.22077,-0.126548,-1,1,-1,1.40085,1.39835,0.999064
8.5,0.76308,0.3535,0,-0.632243,0.234866,0,-0.106027,-0.614417,0,-1.21183,0.403047,0.0625994,-1,1,-1,1.30185,1.40036,0.999092
8.6,0.744076,0.31288,0,-0.6542,0.236436,0,-0.067458,-0.57225,0,-1.21436,0.40572,-0.00514911,-1,1,-1,1.20185,1.40036,0.999118
8.7,0.725329,0.272442,0,-0.674559,0.235718,0,-0.0303835,-0.528041,0,-1.23025,0.422378,-0.0779599,-1,1,-1,1.10185,1.40037,0.999145
8.8,0.706971,0.232012,0,-0.693403,0.232746,0,0.0052087,-0.481598,0,-1.26301,0.456249,-0.161105,-1,-1,-1,1.00185,1.40037,0.999172
