Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_extensile_velocity__0,arm_extensile_velocity__1,arm_extensile_velocity__2,arm_length_0,arm_length_1,arm_length_2
3.1,0.715222,-0.185689,0,-0.453903,0.584805,0,-0.261987,-0.395906,0,0.457936,-1.34899,0.457807,-1,-1,-1,0.999564,1.40118,0.999312
3.2,0.680784,-0.147088,0,-0.404844,0.568376,0,-0.279934,-0.423123,0,0.372622,-1.28408,0.372466,-1,-1,-1,0.999587,1.30118,0.999335
3.3,0.645344,-0.110011,0,-0.356789,0.550422,0,-0.295724,-0.447067,0,0.307859,-1.24164,0.307668,-1,-1,-1,0.999607,1.20118,0.999356
3.4,0.609061,-0.0742107,0,-0.309576,0.531189,0,-0.309654,-0.468186,0,0.256702,-1.21534,0.256469,-1,-1,-1,0.999626,1.10118,0.999375
3.5,0.572056,-0.0395085,0,-0.263088,0.510857,0,-0.321934,-0.486801,0,0.214979,-1.20193,0.214694,1,-1,-1,0.999643,1.00118,0.999392
3.6,0.612542,-0.00908804,0,-0.25266,0.49074,0,-0.370598,-0.501687,0,1.21492,-0.255424,-0.255619,1,-1,-1,1.09864,0.999201,0.99941
3.7,0.652812,0.0221648,0,-0.241353,0.468156,0,-0.419735,-0.515225,0,1.24087,-0.306347,-0.306507,1,-1,-1,1.19864,0.999219,0.999428
3.8,0.692398,0.0547835,0,-0.228533,0.442553,0,-0.469556,-0.527399,0,1.28285,-0.37073,-0.37086,1,-1,-1,1.29864,0.99924,0.999449
3.9,0.731169,0.089029,0,-0.213962,0.413456,0,-0.520192,-0.537947,0,1.34707,-0.455411,-0.455519,1,-1,-1,1.39864,0.999263,0.999472
4,0.768939,0.125272,0,-0.197294,0.380174,0,-0.571828,-0.546498,0,1.44536,-0.572676,-0.572764,1,1,-1,1.49864,0.999289,0.999498
