Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,sphere_pos_3_x,sphere_pos_3_y,sphere_pos_3_z,sphere_pos_4_x,sphere_pos_4_y,sphere_pos_4_z,sphere_pos_5_x,sphere_pos_5_y,sphere_pos_5_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_force_3,input_action_3,arm_energy_consumption_3,arm_force_4,input_action_4,arm_energy_consumption_4,arm_force_5,input_action_5,arm_energy_consumption_5,arm_force_6,input_action_6,arm_energy_consumption_6,arm_force_7,input_action_7,arm_energy_consumption_7,arm_force_8,input_action_8,arm_energy_consumption_8,arm_length_0,arm_length_1,arm_length_2,arm_length_3,arm_length_4,arm_length_5,arm_length_6,arm_length_7,arm_length_8
0,-1.1547,0,0,-0.288672,-0.5,0,-0.288672,0.5,0,0.577348,-1,0,0.577348,0,0,0.577348,1,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,1,0,0,-1,0,0,-1,0,0,0,0,1,1,1,1,1,1,1,1,1
0.1,-1.14125,-0.01084,0,-0.278735,-0.516873,0,-0.33561,0.58167,0,0.587277,-1.01689,0,0.587293,-0.0168864,0,0.579695,0.982086,0,-0.335775,0,0,-0.0230635,0,0,1.07943,1,0.112002,0.221834,-1,0,-0.682516,0,0,1.08008,1,0.112668,-0.023818,-1,0.00148195,-0.335819,-1,0.00215807,0.2221,0,0,1,1.00006,1.09901,0.999995,0.999995,1.09901,0.999057,0.999001,1
0.2,-1.1206,-0.0133607,0,-0.267857,-0.535702,0,-0.380258,0.659046,0,0.598149,-1.03573,0,0.598178,-0.0357271,0,0.571521,0.96292,0,-0.310741,0,0,-0.228802,0,0,1.05244,1,0.1061,0.231689,-1,0,-0.626902,0,0,1.05318,1,0.106168,-0.229638,-1,0,-0.311111,-1,0,0.231788,0,0,1.00001,1.00012,1.19902,0.999995,0.999995,1.19902,0.999111,0.999003,1
0.3,-1.09344,-0.00891132,0,-0.256234,-0.555818,0,-0.423189,0.733449,0,0.609767,-1.05585,0,0.609805,-0.0558513,0,0.554049,0.941599,0,-0.34021,0,0,-0.407272,-1,0,1.07518,0,0.106023,0.237787,-1,0,-0.617724,1,0,1.07614,1,0.106106,-0.408313,1,0,-0.340986,1,0,0.237727,-1,0,1.00001,1.00017,1.29903,0.999995,0.999995,1.29903,0.99916,0.999007,1
0.4,-1.12081,-0.0245985,0,-0.306699,-0.605341,0,-0.422021,0.689576,0,0.587519,-1.05077,0,0.644796,-0.0533937,0,0.618067,1.04529,0,0.197561,0,0,0.501896,-1,0.000928307,-0.206204,0,0,-0.456272,-1,0.00210058,1.81979,1,0.183792,-0.994058,1,0,1.32333,1,0.14313,1.68428,1,0.176627,0.132241,-1,0.00156632,1.00002,0.999176,1.30004,0.999015,1.099,1.30004,1.09823,1.09801,0.999017
0.5,-1.14495,-0.0386994,0,-0.35676,-0.654185,0,-0.415854,0.644526,0,0.562866,-1.04451,0,0.681517,-0.0525463,0,0.673362,1.14644,0,0.149761,0,0,0.434961,-1,0,-0.20556,0,0,-0.504923,-1,0,1.81621,1,0.181549,-0.910087,1,0,1.15496,1,0.123403,1.564,1,0.161969,0.0717818,-1,0,1.00003,0.999185,1.30005,0.999033,1.199,1.30005,1.19829,1.19801,0.999036
0.6,-1.16538,-0.0510555,0,-0.406692,-0.702571,0,-0.405267,0.597497,0,0.535191,-1.03568,0,0.719866,-0.0538388,0,0.721149,1.24518,0,0.105902,-1,0,0.368689,1,0,-0.214013,0,0,-0.568873,-1,0,1.84368,-1,0.182731,-0.87349,0,0,1.025,0,0.108703,1.4779,1,0.151849,-0.00680348,1,0,1.00004,0.999196,1.30007,0.999052,1.299,1.30006,1.29835,1.29801,0.999058
0.7,-1.19507,-0.110343,0,-0.348133,-0.640443,0,-0.409184,0.658207,0,0.526171,-1.12415,0,0.68924,-0.0372465,0,0.741507,1.26173,0,-0.658874,-1,0.00175273,1.48897,1,0.147046,-0.102072,0,0,-0.197456,-1,0,-1.84236,-1,0.189053,0.829119,0,0,0.421439,0,0,0.0748149,1,0.0015487,1.8613,1,0.184051,0.999151,1.09822,1.30008,0.999188,1.201,1.30007,1.29936,1.30002,1.09807
0.8,-1.20378,-0.182179,0,-0.285415,-0.576058,0,-0.411315,0.717931,0,0.492445,-1.20344,0,0.661544,-0.0163616,0,0.76023,1.27992,0,-1.1003,-1,0,1.61053,1,0.154007,-0.463645,0,0,-0.882497,-1,0,-1.93425,-1,0.186763,0.958593,0,0,0.341779,0,0,0.164743,1,0,2.13887,1,0.197677,0.99927,1.19825,1.3001,0.999338,1.101,1.30008,1.29936,1.30003,1.19807
0.9,-1.18638,-0.267632,0,-0.216745,-0.509706,0,-0.411986,0.775669,0,0.428666,-1.27291,0,0.638106,0.00916158,0,0.776075,1.30186,0,-1.68727,-1,0,1.89171,0,0.173551,-1.15634,-1,0,-1.88346,1,0,-2.36659,0,0.211422,1.33235,-1,0,0.228546,-1,0,0.291321,0,0,2.80767,0,0.243338,0.999399,1.2983,1.30012,0.999518,1.001,1.30009,1.29937,1.30004,1.29807
