Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_extensile_velocity_0,arm_extensile_velocity_1,arm_extensile_velocity_2,arm_length_0,arm_length_1,arm_length_2
3.3,1.03732,0.00257702,0,-0.823615,0.387988,0,-0.201476,-0.394914,0,-1.56304,0.885924,-0.615313,-1,1,-1,1.30201,1.90043,0.999996
3.4,1.0102,-0.0299961,0,-0.847297,0.371659,0,-0.149287,-0.3431,0,-1.81767,1.15365,-0.918798,-1,1,-1,1.20202,1.90043,0.999048
3.5,0.98328,-0.0661758,0,-0.871156,0.349407,0,-0.0964954,-0.281567,0,-2.34369,1.69325,-1.49087,-1,1,-1,1.10205,1.90043,0.999113
3.6,0.955759,-0.110516,0,-0.896036,0.316683,0,-0.04127,-0.200809,0,-3.94589,3.30926,-3.13679,-1,-1,-1,1.00211,1.90043,0.999209
3.7,0.915316,-0.0619748,0,-0.838992,0.342947,0,-0.0593272,-0.282131,0,1.63797,-2.45922,1.638,-1,-1,-1,0.999198,1.80143,0.999299
3.8,0.872954,-0.0231813,0,-0.783916,0.359248,0,-0.0735212,-0.343637,0,1.04755,-1.88499,1.04758,-1,-1,-1,0.999252,1.70143,0.999354
3.9,0.829256,0.00982513,0,-0.730176,0.369763,0,-0.0850277,-0.3935,0,0.753461,-1.6078,0.753496,-1,-1,-1,0.999292,1.60143,0.999393
4,0.784675,0.039006,0,-0.677319,0.376454,0,-0.0947461,-0.435617,0,0.57667,-1.44881,0.576713,-1,-1,-1,0.999324,1.50143,0.999425
4.1,0.739447,0.065383,0,-0.625109,0.380341,0,-0.103135,-0.471978,0,0.458145,-1.34923,0.458196,-1,-1,-1,0.99935,1.40143,0.999452
4.2,0.693714,0.0895729,0,-0.573404,0.382042,0,-0.110467,-0.503757,0,0.372732,-1.28424,0.372794,-1,-1,-1,0.999373,1.30143,0.999475
4.3,0.64757,0.111984,0,-0.522109,0.381964,0,-0.116917,-0.531716,0,0.307893,-1.24174,0.30797,-1,-1,-1,0.999394,1.20143,0.999495
4.4,0.601082,0.132902,0,-0.471159,0.380394,0,-0.122605,-0.556376,0,0.256672,-1.21541,0.256766,-1,-1,-1,0.999413,1.10143,0.999514
4.5,0.554297,0.152537,0,-0.420504,0.377543,0,-0.127618,-0.578115,0,0.214888,-1.20196,0.215003,1,-1,1,0.99943,1.00143,0.999531
4.6,0.562024,0.188254,0,-0.411804,0.413032,0,-0.145049,-0.653665,0,0.920611,-0.365438,0.920633,1,-1,1,1.09844,0.999433,1.09855
4.7,0.570081,0.223177,0,-0.403747,0.447955,0,-0.161964,-0.726982,0,0.8724,-0.319498,0.872422,1,-1,1,1.19846,0.999433,1.19856
4.8,0.578045,0.257699,0,-0.395783,0.482476,0,-0.178534,-0.798801,0,0.836462,-0.284634,0.836485,1,-1,1,1.29846,0.999433,1.29856
4.9,0.585945,0.291943,0,-0.387883,0.516719,0,-0.194839,-0.869474,0,0.808719,-0.257162,0.808741,1,-1,1,1.39847,0.999433,1.39857
5,0.5938,0.32599,0,-0.380028,0.550765,0,-0.210936,-0.939245,0,0.786708,-0.234887,0.786731,1,-1,1,1.49847,0.999433,1.49857
5.1,0.601622,0.359895,0,-0.372207,0.58467,0,-0.226866,-1.00829,0,0.768859,-0.216413,0.768881,1,-1,1,1.59848,0.999433,1.59858
5.2,0.60942,0.393696,0,-0.364409,0.61847,0,-0.242658,-1.07675,0,0.75412,-0.200811,0.754141,1,-1,1,1.69848,0.999433,1.69858
5.3,0.6172,0.42742,0,-0.356629,0.652193,0,-0.258337,-1.1447,0,0.741763,-0.187436,0.741784,1,-1,1,1.79848,0.999433,1.79858
5.4,0.624966,0.461086,0,-0.348862,0.685859,0,-0.27392,-1.21225,0,0.731269,-0.175828,0.73129,-1,-1,1,1.89848,0.999433,1.89859
5.5,0.596946,0.406716,0,-0.354415,0.713066,0,-0.243776,-1.1843,0,-1.25138,0.00588227,0.526352,-1,-1,1,1.80049,0.999468,1.90059
5.6,0.565853,0.353667,0,-0.356459,0.738829,0,-0.213849,-1.1564,0,-1.26092,-0.0795045,0.543134,-1,-1,1,1.70049,0.999504,1.90059
5.7,0.531288,0.301699,0,-0.355009,0.763822,0,-0.183788,-1.12904,0,-1.2883,-0.173956,0.578969,-1,-1,1,1.60049,0.99954,1.90059
5.8,0.492892,0.250788,0,-0.349996,0.788092,0,-0.153341,-1.1023,0,-1.33902,-0.285169,0.639378,-1,-1,1,1.50049,0.999577,1.9006
5.9,0.450084,0.2009,0,-0.341233,0.811682,0,-0.12217,-1.07625,0,-1.42417,-0.425777,0.735383,-1,-1,1,1.40049,0.999618,1.9006
6,0.401917,0.151964,0,-0.328345,0.834637,0,-0.0897699,-1.05093,0,-1.56675,-0.619953,0.889929,-1,-1,1,1.3005,0.999662,1.9006
6.1,0.346717,0.10381,0,-0.31061,0.857036,0,-0.0552891,-1.02634,0,-1.82129,-0.923023,1.15737,-1,-1,1,1.20052,0.999714,1.9006
6.2,0.281091,0.0560157,0,-0.286489,0.879066,0,-0.0170384,-1.00234,0,-2.35195,-1.49967,1.70161,-1,-1,1,1.10054,0.999778,1.9006
6.3,0.195951,0.00727393,0,-0.25178,0.901305,0,0.0294789,-0.978369,0,-3.97876,-3.17015,3.34222,-1,1,1,1.0006,0.999876,1.9006
6.4,0.291875,-0.0143683,0,-0.303379,0.910585,0,-0.0103509,-0.967291,0,1.51409,2.36562,-1.71552,-1,1,1,0.9997,1.09894,1.9006
6.5,0.368691,-0.0408414,0,-0.347006,0.922327,0,-0.039907,-0.953299,0,0.928985,1.82653,-1.16281,-1,1,1,0.999765,1.19896,1.9006
6.6,0.435602,-0.0707153,0,-0.387188,0.935744,0,-0.0634421,-0.937081,0,0.623237,1.56931,-0.89265,-1,1,1,0.999817,1.29898,1.9006
6.7,0.496003,-0.103398,0,-0.425589,0.950466,0,-0.082495,-0.918913,0,0.427925,1.42556,-0.736908,-1,1,1,0.999862,1.39899,1.9006
6.8,0.551552,-0.138558,0,-0.463028,0.96625,0,-0.097786,-0.89893,0,0.286759,1.3398,-0.64026,-1,1,1,0.999902,1.49899,1.9006
6.9,0.60318,-0.175986,0,-0.499975,0.982903,0,-0.109688,-0.877199,0,0.175257,1.2887,-0.579447,-1,1,1,0.99994,1.59899,1.90061
7,0.651453,-0.215546,0,-0.536736,1.00026,0,-0.118395,-0.853735,0,0.0806679,1.26105,-0.543317,-1,1,1,0.999976,1.69899,1.90061
7.1,0.696299,-0.257459,0,-0.573542,1.01827,0,-0.123556,-0.828303,0,-0.00452154,1.25152,-0.526651,-1,1,1,0.999011,1.79899,1.90061
7.2,0.738783,-0.301094,0,-0.610511,1.03659,0,-0.126052,-0.801248,0,-0.0864382,1.2571,-0.526158,1,1,-1,0.999046,1.899,1.90061
7.3,0.802171,-0.287987,0,-0.608031,0.986842,0,-0.188384,-0.764193,0,1.1533,0.316491,-1.25767,1,1,-1,1.09808,1.90102,1.80162
7.4,0.861652,-0.274646,0,-0.603936,0.936133,0,-0.248848,-0.727007,0,1.11858,0.215125,-1.19596,1,1,-1,1.1981,1.90103,1.70162
7.5,0.918384,-0.261173,0,-0.598651,0.884516,0,-0.308082,-0.68952,0,1.10471,0.125656,-1.15241,1,1,-1,1.29812,1.90105,1.60163
7.6,0.972874,-0.247349,0,-0.592189,0.831838,0,-0.366539,-0.651738,0,1.10679,0.0422138,-1.12324,1,1,-1,1.39813,1.90107,1.50164
7.7,1.02548,-0.233031,0,-0.584541,0.777901,0,-0.424558,-0.61358,0,1.12245,-0.0393398,-1.10712,1,1,-1,1.49814,1.90109,1.40165
7.8,1.07644,-0.218124,0,-0.575691,0.722434,0,-0.482399,-0.574876,0,1.15115,-0.122643,-1.10453,1,1,-1,1.59815,1.90111,1.30166
7.9,1.12597,-0.202558,0,-0.565631,0.665059,0,-0.540273,-0.53535,0,1.19412,-0.211796,-1.11775,1,1,-1,1.69815,1.90112,1.20168
8,1.17419,-0.186261,0,-0.554362,0.605229,0,-0.598352,-0.494589,0,1.25507,-0.312573,-1.15159,1,1,-1,1.79816,1.90114,1.1017
8.1,1.2212,-0.169136,0,-0.541903,0.542133,0,-0.656787,-0.451978,0,1.34196,-0.434626,-1.21526,-1,1,-1,1.89816,1.90116,1.00173
8.2,1.18451,-0.18785,0,-0.565181,0.555799,0,-0.5964,-0.443476,0,-1.25137,0.526417,0.00516312,-1,1,-1,1.80016,1.90117,0.999762
8.3,1.14817,-0.206636,0,-0.588755,0.566368,0,-0.535977,-0.432035,0,-1.26104,0.543343,-0.0802493,-1,1,-1,1.70016,1.90117,0.999797
8.4,1.11229,-0.225731,0,-0.61278,0.57339,0,-0.475402,-0.416961,0,-1.28857,0.579342,-0.174773,-1,1,-1,1.60016,1.90117,0.999834
