Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,sphere_pos_3_x,sphere_pos_3_y,sphere_pos_3_z,sphere_pos_4_x,sphere_pos_4_y,sphere_pos_4_z,sphere_pos_5_x,sphere_pos_5_y,sphere_pos_5_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_force_3,input_action_3,arm_energy_consumption_3,arm_force_4,input_action_4,arm_energy_consumption_4,arm_force_5,input_action_5,arm_energy_consumption_5,arm_force_6,input_action_6,arm_energy_consumption_6,arm_force_7,input_action_7,arm_energy_consumption_7,arm_force_8,input_action_8,arm_energy_consumption_8,arm_length_0,arm_length_1,arm_length_2,arm_length_3,arm_length_4,arm_length_5,arm_length_6,arm_length_7,arm_length_8
1.2,-1.10386,-0.150912,0,0.0981071,-0.646407,0,-0.213564,0.302783,0,-0.001715,-1.64127,0,0.765147,0.0973302,0,0.652773,1.99403,0,2.50073,1,0.240352,-1.47283,-1,0,-0.295454,-1,0,2.60705,-1,0,3.06557,-1,0,-0.98773,0,0,-0.784888,0,0,0.487415,0,0,-2.35874,0,0,1.29909,0.999229,0.999049,0.999857,0.999043,1.00004,1.90023,1.90003,1.90021
1.3,-1.14778,-0.0674078,0,0.116968,-0.668,0,-0.209423,0.27623,0,0.0326248,-1.66429,0,0.772365,0.0860184,0,0.630517,1.98075,0,2.76376,1,0.262565,-1.78601,-1,0,-0.59826,-1,0,2.67886,-1,0,3.23062,-1,0,-1.13226,0,0,-0.982222,0,0,0.630939,0,0,-2.39457,0,0,1.39911,0.999301,0.99905,0.999858,0.999044,1.00004,1.90023,1.90003,1.90021
1.4,-1.18215,0.025631,0,0.13519,-0.692018,0,-0.207459,0.246436,0,0.0680639,-1.68962,0,0.777469,0.0732069,0,0.602922,1.96521,0,3.15024,1,0.294579,-2.22432,-1,0,-1.0365,-1,0,2.75881,-1,0,3.4464,-1,0,-1.32247,0,0,-1.22933,0,0,0.817045,0,0,-2.43449,0,0,1.49913,0.999383,0.999052,0.999859,0.999046,1.00005,1.90023,1.90003,1.90022
1.5,-1.20429,0.129516,0,0.152521,-0.718762,0,-0.208289,0.212863,0,0.104781,-1.71748,0,0.77982,0.0587934,0,0.568562,1.94705,0,3.75422,1,0.343093,-2.88388,-1,0,-1.71193,-1,0,2.85509,-1,0,3.74581,-1,0,-1.5847,0,0,-1.55362,0,0,1.0693,0,0,-2.48476,0,0,1.59916,0.99948,0.999054,0.999861,0.999048,1.00005,1.90024,1.90004,1.90022
1.6,-1.20992,0.246434,0,0.168589,-0.74874,0,-0.212903,0.174611,0,0.143129,-1.74828,0,0.778397,0.0426101,0,0.525091,1.92569,0,4.79769,1,0.422839,-3.99044,-1,0,-2.86269,-1,0,2.98454,-1,0,4.19729,-1,0,-1.9736,0,0,-2.01187,0,0,1.43657,0,0,-2.55842,0,0,1.69919,0.999601,0.999056,0.999864,0.99905,1.00005,1.90024,1.90004,1.90022
1.7,-1.191,0.380556,0,0.182746,-0.782932,0,-0.223153,0.129957,0,0.183859,-1.7828,0,0.771309,0.024348,0,0.468045,1.90004,0,6.95455,1,0.573644,-6.22673,-1,0,-5.20459,-1,0,3.19138,-1,0,4.9786,-1,0,-2.63001,0,0,-2.74944,0,0,2.04429,0,0,-2.6902,0,0,1.79925,0.999765,0.99906,0.999867,0.999054,1.00005,1.90025,1.90005,1.90023
1.8,-1.12587,0.543626,0,0.193398,-0.824159,0,-0.244059,0.0740418,0,0.229341,-1.82339,0,0.753485,0.00313938,0,0.385061,1.86714,0,13.76,1,0.968314,-13.1616,0,0.0247239,-12.4477,1,0,3.65915,1,0,6.82156,-1,0,-4.13015,1,0,-4.35807,-1,0,3.40373,-1,0,-3.02622,-1,0,1.89934,0.999048,0.999066,0.999873,0.99906,1.00006,1.90026,1.90006,1.90024
1.9,-1.31882,0.524821,0,0.0537019,-0.789543,0,-0.365129,0.226612,0,0.45466,-1.81438,0,0.704404,-0.0313618,0,0.572361,1.76399,0,-2.65554,1,0,4.7257,0,0,8.44625,1,1.28284,7.53478,1,1.13889,0.949983,-1,0,0.532033,1,0.104136,4.47689,-1,0.647165,-6.23469,-1,0.794488,-7.60388,-1,1.13713,1.90036,0.999226,1.09809,1.09948,0.999125,1.0992,1.80167,1.8012,1.80143
2,-1.43688,0.522666,0,-0.0433987,-0.76946,0,-0.45119,0.358167,0,0.620693,-1.76985,0,0.670133,-0.070032,0,0.678037,1.63021,0,-0.504219,1,0,2.00451,0,0,4.97061,1,0.641256,5.34814,1,0.62245,-0.0510621,-1,0,-0.149428,1,0.01964,2.40378,-1,0.331972,-4.57931,-1,0.529686,-5.40754,-1,0.629576,1.90036,0.999322,1.1981,1.19975,0.999163,1.1993,1.70195,1.70126,1.70153
2.1,-1.51262,0.536558,0,-0.122847,-0.759557,0,-0.514899,0.478981,0,0.76341,-1.71188,0,0.641422,-0.115914,0,0.733424,1.48172,0,0.370618,1,0,0.716507,0,0,3.54844,1,0.415652,4.55469,1,0.488842,-0.525882,-1,0,-0.503358,1,0.034747,1.20586,-1,0.175326,-3.74563,-1,0.411393,-4.5642,-1,0.492341,1.90036,0.99938,1.29811,1.29991,0.999191,1.29938,1.60218,1.60128,1.60163
2.2,-1.55876,0.562666,0,-0.192189,-0.757894,0,-0.559773,0.592076,0,0.89268,-1.64445,0,0.615456,-0.169554,0,0.750794,1.32462,0,0.746848,1,0,-0.00875616,0,0,2.90921,1,0.31835,4.25286,1,0.437393,-0.96899,-1,0,-0.686027,1,0.0605673,0.395775,-1,0.0775237,-3.31659,-1,0.35034,-4.21616,-1,0.435892,1.90037,0.999418,1.39812,1.40004,0.999216,1.39944,1.5024,1.50129,1.50172
2.3,-1.58127,0.598014,0,-0.255311,-0.763329,0,-0.586909,0.69867,0,1.01246,-1.56719,0,0.590582,-0.231404,0,0.73616,1.1613,0,0.892635,1,0,-0.481593,0,0,2.64577,1,0.27531,4.24307,1,0.422567,-1.49511,-1,0,-0.778222,1,0.0738043,-0.238578,-1,0.0164077,-3.15126,-1,0.321354,-4.18086,-1,0.417388,1.90038,0.999444,1.49813,1.50014,0.999239,1.49951,1.40262,1.40129,1.40182
2.4,-1.58254,0.640534,0,-0.314787,-0.7752,0,-0.595731,0.799078,0,1.12435,-1.47723,0,0.565547,-0.302402,0,0.69179,0.991745,0,0.92086,1,0,-0.850657,0,0,2.61954,1,0.261473,4.5329,1,0.435977,-2.21838,-1,0,-0.816565,1,0.0801539,-0.839911,-1,0.0538961,-3.22851,-1,0.316814,-4.47662,-1,0.429752,1.90039,0.999461,1.59815,1.60024,0.999263,1.59957,1.30285,1.30129,1.30195
2.5,-1.5619,0.68908,0,-0.372687,-0.793269,0,-0.583412,0.892785,0,1.22853,-1.36831,0,0.539236,-0.384646,0,0.616095,0.813188,0,0.886539,1,0,-1.2241,0,0,2.82791,1,0.270179,5.34437,1,0.487963,-3.41694,-1,0,-0.788849,1,0.0811051,-1.5956,-1,0.119629,-3.66207,-1,0.340665,-5.33659,-1,0.484371,1.90042,0.999472,1.69817,1.70034,0.999288,1.69964,1.20314,1.2013,1.20213
2.6,-1.51376,0.744,0,-0.431152,-0.817962,0,-0.542025,0.977825,0,1.32339,-1.22643,0,0.510462,-0.483293,0,0.499814,0.616985,0,0.826988,1,0,-1.77605,0,0,3.45899,1,0.309274,7.64352,1,0.628591,-6.12786,-1,0,-0.471126,1,0.0680457,-3.07947,-1,0.222827,-5.03144,-1,0.421596,-7.74562,-1,0.632727,1.90047,0.999477,1.79821,1.80046,0.99932,1.79972,1.10355,1.10133,1.1024
2.7,-1.41289,0.811471,0,-0.492457,-0.851344,0,-0.441621,1.04726,0,1.40194,-1.0056,0,0.478788,-0.6159,0,0.296934,0.367934,0,0.283312,1,0,-2.63829,0,0,3.26728,0,0.431409,10.7981,-1,1.15992,-11.4771,1,0,7.96084,0,0.108169,-11.7897,1,0.57316,-12.9422,1,0.779563,-11.2034,-1,1.19024,1.90056,0.999478,1.89828,1.90066,0.999375,1.89985,1.00445,1.00149,1.00303
2.8,-1.49173,0.740082,0,-0.46943,-0.862166,0,-0.537029,1.03595,0,1.30087,-1.19201,0,0.571504,-0.508362,0,0.471899,0.587669,0,-0.845107,1,0,1.52445,0,0,-1.71939,0,0,-6.35287,-1,1.05528,6.05466,1,1.02513,-0.847959,0,0,3.62298,1,0.551086,5.08072,1,0.731281,5.52197,-1,0.024969,1.9006,0.999499,1.89932,1.80177,1.09842,1.90099,1.10303,1.09955,0.999669
