Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_extensile_velocity__0,arm_extensile_velocity__1,arm_extensile_velocity__2,arm_length_0,arm_length_1,arm_length_2
3.4,0.638583,0.00154822,0,-0.318874,0.543881,0,-0.316409,-0.545628,0,-0.189213,-0.188972,1.06614,-0.9,-0.9,0.8,1.10064,1.10039,1.08861
3.5,0.564514,0.0013636,0,-0.284243,0.549568,0,-0.281755,-0.551141,0,-0.942385,-0.942341,0.450797,-0.7,-0.7,-1,1.01156,1.0113,1.10071
3.6,0.577987,0.00115493,0,-0.288788,0.499691,0,-0.286173,-0.501018,0,0.214718,0.215221,-1.20193,1,0.9,-0.7,0.999475,0.999919,1.00171
3.7,0.651778,0.00459702,0,-0.320563,0.497048,0,-0.32391,-0.502259,0,0.952023,0.802235,-0.350082,0.7,0.6,0.9,1.09849,1.08903,0.999313
3.8,0.638507,0.00160224,0,-0.31878,0.543749,0,-0.31598,-0.545561,0,-0.189159,-0.189111,1.0662,-0.9,-0.9,0.8,1.1002,1.10015,1.08841
3.9,0.564433,0.00140844,0,-0.28415,0.54944,0,-0.281322,-0.551071,0,-0.942543,-0.942534,0.450937,-0.7,-0.7,-1,1.01112,1.01106,1.10051
4,0.578185,0.00144547,0,-0.288633,0.499427,0,-0.286064,-0.501083,0,0.21492,0.214862,-1.20191,1,0.9,-0.7,0.99973,0.999679,1.00151
4.1,0.65184,0.00492036,0,-0.320361,0.497117,0,-0.323743,-0.502691,0,0.952275,0.802428,-0.35039,0.7,0.6,0.9,1.09874,1.08879,0.999814
4.2,0.638795,0.00173628,0,-0.318882,0.543924,0,-0.315722,-0.545887,0,-0.189169,-0.18922,1.06617,-0.9,-0.9,0.8,1.10045,1.10051,1.08892
4.3,0.564903,0.00152561,0,-0.284325,0.549222,0,-0.281135,-0.550988,0,-0.942049,-0.942058,0.450433,-0.7,-0.7,-1,1.01137,1.01142,1.10022
4.4,0.578363,0.00181034,0,-0.288475,0.499073,0,-0.285936,-0.501139,0,0.21516,0.214428,-1.2019,1,0.9,-0.7,0.999985,0.999339,1.00122
4.5,0.652011,0.0053257,0,-0.320204,0.496742,0,-0.323609,-0.502768,0,0.952237,0.802245,-0.350278,0.7,0.6,0.9,1.099,1.08845,0.999515
4.6,0.638972,0.0021232,0,-0.31874,0.543559,0,-0.315579,-0.545953,0,-0.189372,-0.188862,1.06616,-0.9,-0.9,0.8,1.10071,1.10017,1.08862
4.7,0.564901,0.00187227,0,-0.28411,0.549278,0,-0.280923,-0.551434,0,-0.942483,-0.942389,0.450867,-0.7,-0.7,-1,1.01163,1.01108,1.10072
4.8,0.578377,0.00168148,0,-0.288619,0.499393,0,-0.285378,-0.501319,0,0.214911,0.215091,-1.20195,1,0.9,-0.7,0.99954,0.999699,1.00172
4.9,0.652167,0.00519053,0,-0.320395,0.496719,0,-0.323113,-0.502594,0,0.952094,0.802252,-0.350141,0.7,0.6,0.9,1.09855,1.08881,0.999317
5,0.639132,0.00200505,0,-0.318947,0.543523,0,-0.315069,-0.545788,0,-0.188946,-0.189194,1.06615,-0.9,-0.9,0.8,1.10026,1.10053,1.08842
5.1,0.565065,0.00175896,0,-0.284327,0.549238,0,-0.280407,-0.551273,0,-0.942315,-0.942361,0.450746,-0.7,-0.7,-1,1.01118,1.01144,1.10052
5.2,0.578535,0.0020458,0,-0.288452,0.499089,0,-0.285242,-0.501424,0,0.215188,0.214694,-1.20194,1,0.9,-0.7,0.999796,0.99936,1.00152
5.3,0.65219,0.00559589,0,-0.320183,0.496745,0,-0.322918,-0.50307,0,0.952383,0.802465,-0.35048,0.7,0.6,0.9,1.09881,1.08847,0.999818
5.4,0.639146,0.00239091,0,-0.318741,0.543559,0,-0.314861,-0.546254,0,-0.18939,-0.189078,1.0662,-0.9,-0.9,0.8,1.10052,1.10019,1.08892
5.5,0.565249,0.00210584,0,-0.284184,0.548893,0,-0.28027,-0.551319,0,-0.942201,-0.942144,0.450547,-0.7,-0.7,-1,1.01144,1.0111,1.10022
5.6,0.578715,0.0019171,0,-0.28866,0.499009,0,-0.284751,-0.501203,0,0.214635,0.215053,-1.20193,1,0.9,-0.7,0.999351,0.999719,1.00122
5.7,0.652363,0.0054602,0,-0.320381,0.496672,0,-0.32243,-0.502845,0,0.952198,0.802423,-0.350287,0.7,0.6,0.9,1.09836,1.08883,0.99952
5.8,0.639324,0.00227238,0,-0.318956,0.543474,0,-0.314361,-0.546037,0,-0.188933,-0.18938,1.06618,-0.9,-0.9,0.8,1.10007,1.10055,1.08862
5.9,0.56525,0.00199148,0,-0.284338,0.549204,0,-0.27969,-0.551507,0,-0.942514,-0.942595,0.450982,-0.7,-0.7,-1,1.01099,1.01146,1.10072
6,0.578727,0.00228042,0,-0.288437,0.499057,0,-0.284557,-0.501657,0,0.215179,0.214923,-1.20198,1,0.9,-0.7,0.999606,0.999379,1.00172
6.1,0.652517,0.00586464,0,-0.320214,0.496348,0,-0.322288,-0.502971,0,0.952201,0.802289,-0.350231,0.7,0.6,0.9,1.09862,1.08849,0.999321
6.2,0.639482,0.00265829,0,-0.318804,0.54316,0,-0.31421,-0.546153,0,-0.189166,-0.189052,1.06618,-0.9,-0.9,0.8,1.10033,1.10021,1.08842
6.3,0.565412,0.0023378,0,-0.284185,0.54891,0,-0.279544,-0.551602,0,-0.942467,-0.942446,0.450861,-0.7,-0.7,-1,1.01125,1.01113,1.10052
6.4,0.579161,0.00239976,0,-0.288583,0.498889,0,-0.284368,-0.501624,0,0.214927,0.214789,-1.20189,1,0.9,-0.7,0.999861,0.99974,1.00152
6.5,0.652808,0.00600071,0,-0.320307,0.496524,0,-0.322044,-0.503297,0,0.952237,0.80237,-0.350349,0.7,0.6,0.9,1.09887,1.08885,0.999823
6.6,0.63977,0.00279303,0,-0.318907,0.543335,0,-0.313951,-0.546478,0,-0.189176,-0.189161,1.06615,-0.9,-0.9,0.8,1.10058,1.10057,1.08892
6.7,0.565881,0.00245596,0,-0.284359,0.548692,0,-0.279357,-0.55152,0,-0.941974,-0.941971,0.450356,-0.7,-0.7,-1,1.0115,1.01149,1.10022
6.8,0.579065,0.00251644,0,-0.288477,0.498673,0,-0.28393,-0.501541,0,0.214903,0.214885,-1.20197,1,0.9,-0.7,0.999416,0.9994,1.00122
6.9,0.652713,0.00613453,0,-0.3202,0.496301,0,-0.321606,-0.503222,0,0.952305,0.802459,-0.350377,0.7,0.6,0.9,1.09843,1.08851,0.999524
7,0.639674,0.00292583,0,-0.318813,0.54311,0,-0.313501,-0.546402,0,-0.189154,-0.189237,1.06621,-0.9,-0.9,0.8,1.10014,1.10023,1.08863
7.1,0.565596,0.0025705,0,-0.284196,0.548876,0,-0.278827,-0.551836,0,-0.942666,-0.942681,0.451096,-0.7,-0.7,-1,1.01106,1.01115,1.10073
7.2,0.579352,0.00263468,0,-0.288567,0.498856,0,-0.283684,-0.501857,0,0.214917,0.215017,-1.20193,1,0.9,-0.7,0.999671,0.99976,1.00173
7.3,0.653135,0.00626981,0,-0.320338,0.496128,0,-0.321415,-0.503197,0,0.952055,0.802194,-0.3501,0.7,0.6,0.9,1.09868,1.08887,0.999325
7.4,0.640107,0.00306078,0,-0.31897,0.542935,0,-0.3133,-0.546376,0,-0.188953,-0.189135,1.06613,-0.9,-0.9,0.8,1.10039,1.10059,1.08843
7.5,0.566043,0.0026882,0,-0.28436,0.548709,0,-0.27863,-0.551803,0,-0.94224,-0.942273,0.45067,-0.7,-0.7,-1,1.01131,1.01151,1.10053
7.6,0.57951,0.00299946,0,-0.2884,0.498553,0,-0.283547,-0.501962,0,0.215195,0.214621,-1.20192,1,0.9,-0.7,0.999927,0.99942,1.00153
7.7,0.653157,0.00667541,0,-0.320126,0.496153,0,-0.321219,-0.503673,0,0.952344,0.802407,-0.350439,0.7,0.6,0.9,1.09894,1.08854,0.999827
7.8,0.64012,0.00344685,0,-0.318764,0.542971,0,-0.313091,-0.546842,0,-0.189397,-0.189018,1.06618,-0.9,-0.9,0.8,1.10065,1.10025,1.08893
7.9,0.566227,0.00303558,0,-0.284216,0.548365,0,-0.278493,-0.551848,0,-0.942125,-0.942056,0.45047,-0.7,-0.7,-1,1.01157,1.01117,1.10023
8,0.57969,0.00287127,0,-0.288608,0.498472,0,-0.283056,-0.501741,0,0.214642,0.21498,-1.20191,1,0.9,-0.7,0.999482,0.99978,1.00123
8.1,0.65333,0.00654024,0,-0.320324,0.49608,0,-0.320732,-0.503448,0,0.95216,0.802365,-0.350246,0.7,0.6,0.9,1.09849,1.08889,0.999528
8.2,0.640298,0.00332886,0,-0.318979,0.542886,0,-0.312591,-0.546625,0,-0.18894,-0.18932,1.06617,-0.9,-0.9,0.8,1.1002,1.10061,1.08863
8.3,0.566227,0.0029214,0,-0.284371,0.548675,0,-0.277913,-0.552036,0,-0.942438,-0.942508,0.450905,-0.7,-0.7,-1,1.01112,1.01153,1.10073
8.4,0.579701,0.00323478,0,-0.288385,0.49852,0,-0.282862,-0.502195,0,0.215185,0.21485,-1.20196,1,0.9,-0.7,0.999737,0.99944,1.00173
8.5,0.653483,0.00694516,0,-0.320158,0.495756,0,-0.32059,-0.503573,0,0.952162,0.802231,-0.35019,0.7,0.6,0.9,1.09875,1.08856,0.99933
8.6,0.640456,0.00371524,0,-0.318827,0.542572,0,-0.312439,-0.54674,0,-0.189173,-0.188993,1.06616,-0.9,-0.9,0.8,1.10046,1.10027,1.08843
8.7,0.566388,0.00326818,0,-0.284217,0.548381,0,-0.277766,-0.552131,0,-0.942392,-0.942359,0.450784,-0.7,-0.7,-1,1.01138,1.01119,1.10053
8.8,0.580135,0.00335506,0,-0.288531,0.498352,0,-0.282673,-0.502162,0,0.214933,0.214716,-1.20186,1,0.9,-0.7,0.999992,0.999801,1.00153
8.9,0.653774,0.00708193,0,-0.320251,0.495932,0,-0.320345,-0.503899,0,0.952199,0.802312,-0.350309,0.7,0.6,0.9,1.099,1.08892,0.999831
9,0.640235,0.00382035,0,-0.318724,0.542763,0,-0.311908,-0.547048,0,-0.18933,-0.189343,1.06626,-0.9,-0.9,0.8,1.10001,1.10003,1.08893
9.1,0.566329,0.00335901,0,-0.28418,0.548179,0,-0.277298,-0.552032,0,-0.942481,-0.942483,0.450845,-0.7,-0.7,-1,1.01093,1.01095,1.10023
9.2,0.580077,0.00344455,0,-0.288477,0.498151,0,-0.282221,-0.502062,0,0.214834,0.214849,-1.20193,1,0.9,-0.7,0.999547,0.999561,1.00123
9.3,0.653717,0.00718612,0,-0.320195,0.495726,0,-0.319894,-0.503806,0,0.952231,0.802382,-0.350305,0.7,0.6,0.9,1.09856,1.08868,0.999532
9.4,0.640686,0.00395627,0,-0.318889,0.542537,0,-0.311716,-0.546973,0,-0.189099,-0.18921,1.06618,-0.9,-0.9,0.8,1.10027,1.10039,1.08863
