Wall time,Step,Value
1631706128.4884706,32768,26.80569839477539
1631706464.6503744,65536,26.867660522460938
1631706800.729757,98304,27.005109786987305
1631707136.179014,131072,26.720611572265625
1631707473.5356245,163840,27.160791397094727
1631707809.176246,196608,26.795818328857422
1631708144.706417,229376,27.358631134033203
1631708480.6185849,262144,27.165189743041992
1631708815.546725,294912,27.041627883911133
1631709150.9380016,327680,27.06255340576172
1631709486.6515784,360448,27.371994018554688
1631709823.1226053,393216,27.26961326599121
1631710159.0787818,425984,26.99641990661621
1631710494.4744906,458752,26.622835159301758
1631710830.7161677,491520,26.774690628051758
1631711166.5000484,524288,27.134233474731445
1631711502.591492,557056,26.828765869140625
1631711838.4835722,589824,26.85252571105957
1631712174.7400846,622592,26.58775520324707
1631712510.1382995,655360,26.77083969116211
1631712845.4557748,688128,26.350801467895508
1631713180.9008148,720896,27.04469108581543
1631713516.68099,753664,27.15422248840332
1631713852.2105024,786432,27.20041275024414
1631714186.91071,819200,27.12250518798828
1631714522.2482412,851968,27.882431030273438
1631714857.3902838,884736,27.562463760375977
1631715193.2300441,917504,27.73103141784668
1631715529.4438314,950272,27.168209075927734
1631715865.5061586,983040,27.46319007873535
1631716200.9997225,1015808,27.16651153564453
