Wall time,Step,Value
1631748432.3849554,32768,28.62947654724121
1631748771.9714599,65536,28.218961715698242
1631749111.8577313,98304,28.261558532714844
1631749450.5497117,131072,27.851734161376953
1631749790.6215563,163840,28.426069259643555
1631750130.4818652,196608,28.580961227416992
1631750469.564461,229376,28.253454208374023
1631750808.918485,262144,28.014087677001953
1631751148.0011902,294912,27.596227645874023
1631751487.0627708,327680,28.38958168029785
1631751825.4894078,360448,28.663942337036133
1631752165.3409982,393216,27.642423629760742
1631752504.412326,425984,27.940872192382812
1631752842.9631066,458752,28.017133712768555
1631753183.3137598,491520,27.893714904785156
1631753522.3847861,524288,28.056737899780273
1631753861.6860385,557056,28.119842529296875
1631754199.6789007,589824,27.870983123779297
1631754541.6868823,622592,28.421920776367188
1631754883.120227,655360,27.910907745361328
1631755224.4654715,688128,27.796653747558594
1631755565.0211709,720896,27.644079208374023
1631755905.9326134,753664,28.00376319885254
1631756247.8552775,786432,27.523801803588867
1631756588.9184866,819200,27.42428970336914
1631756929.844574,851968,27.881723403930664
1631757271.5790594,884736,27.686552047729492
1631757612.0167732,917504,27.79795265197754
1631757953.0986705,950272,27.305192947387695
1631758294.1635048,983040,27.852449417114258
1631758634.7172575,1015808,28.074939727783203
