Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_extensile_velocity_0,arm_extensile_velocity_1,arm_extensile_velocity_2,arm_length_0,arm_length_1,arm_length_2
3.1,0.821207,0.199844,0,-0.647294,0.602315,0,-0.146531,-0.811266,0,1.499,-1.02333,-1.0794,1,-0.943765,-1,1.39859,1.5236,1.50066
3.2,0.824494,0.265856,0,-0.578005,0.536227,0,-0.214518,-0.815454,0,1.62129,-1.16086,-1.20969,1,-0.943765,-1,1.49859,1.42927,1.4007
3.3,0.825152,0.334303,0,-0.502505,0.464299,0,-0.285173,-0.817164,0,1.81889,-1.37436,-1.41713,1,-0.943765,-1,1.59859,1.33495,1.30076
3.4,0.821744,0.406577,0,-0.417758,0.383559,0,-0.360035,-0.814904,0,2.18134,-1.75471,-1.79255,1,-0.943765,-1,1.69859,1.24066,1.20085
3.5,0.811084,0.485777,0,-0.317104,0.287467,0,-0.442504,-0.805367,0,3.03529,-2.63036,-2.66437,1,-0.943765,-1,1.79859,1.14643,1.101
3.6,0.782255,0.58257,0,-0.177703,0.153588,0,-0.544148,-0.777249,0,7.18659,-6.80965,-6.84088,-0.138404,1,-1,1.89859,1.05239,1.00136
3.7,0.824329,0.556974,0,-0.266347,0.187685,0,-0.501887,-0.783629,0,-1.58564,2.13478,1.24739,-0.138404,1,-1,1.88589,1.1505,0.999464
3.8,0.862924,0.536501,0,-0.34514,0.209566,0,-0.465101,-0.782744,0,-1.16291,1.72912,0.782262,-0.138404,1,-1,1.87205,1.25052,0.999534
3.9,0.900228,0.51906,0,-0.418516,0.223152,0,-0.43182,-0.77635,0,-0.943514,1.52601,0.51502,-0.138404,1,-1,1.85821,1.35053,0.999591
4,0.937168,0.503548,0,-0.488457,0.230479,0,-0.401158,-0.765344,0,-0.815805,1.41347,0.332461,-0.138404,1,-1,1.84437,1.45054,0.999642
4.1,0.974195,0.489321,0,-0.555965,0.23261,0,-0.372689,-0.750136,0,-0.739518,1.35104,0.192314,-0.138404,1,-1,1.83054,1.55055,0.999689
4.2,1.01155,0.475933,0,-0.621605,0.230157,0,-0.346189,-0.730891,0,-0.697269,1.32121,0.0744673,-0.138404,1,-1,1.8167,1.65055,0.999734
4.3,1.04937,0.46303,0,-0.685716,0.223475,0,-0.321536,-0.707616,0,-0.681222,1.31607,-0.032785,-0.138404,1,-1,1.80286,1.75055,0.999778
4.4,1.08774,0.450296,0,-0.748508,0.212733,0,-0.298674,-0.680179,0,-0.688619,1.33285,-0.137913,-0.138404,1,-1,1.78902,1.85055,0.999822
4.5,1.1052,0.441581,0,-0.780678,0.20587,0,-0.284813,-0.66235,0,-0.173309,0.0731914,-0.00208345,-1,1,-1,1.77519,1.90055,0.999844
4.6,1.08348,0.406994,0,-0.806021,0.202297,0,-0.238887,-0.621182,0,-1.26568,0.549791,-0.10131,-1,1,-1,1.67605,1.90055,0.999879
4.7,1.06233,0.372324,0,-0.829969,0.195427,0,-0.194675,-0.576735,0,-1.29804,0.590901,-0.198939,-1,1,-1,1.57605,1.90055,0.999916
