Wall time,Step,Value
1631716553.823089,32768,27.12481689453125
1631716888.9245732,65536,27.274761199951172
1631717224.1526616,98304,27.256860733032227
1631717559.0109816,131072,27.48890495300293
1631717894.75458,163840,27.57442855834961
1631718231.2821074,196608,27.97365951538086
1631718567.063532,229376,27.513845443725586
1631718902.3859088,262144,27.718320846557617
1631719237.7597313,294912,28.14885711669922
1631719573.587601,327680,28.081920623779297
1631719910.178817,360448,27.564777374267578
1631720245.233228,393216,28.04655647277832
1631720580.5889108,425984,27.92177391052246
1631720916.1562865,458752,27.97454071044922
1631721252.073519,491520,28.302961349487305
1631721588.3874154,524288,27.74907875061035
1631721924.0261474,557056,27.82122802734375
1631722259.4059024,589824,27.76835060119629
1631722595.3503504,622592,27.947362899780273
1631722931.2966413,655360,27.556608200073242
1631723266.9842458,688128,27.99504852294922
1631723602.9954772,720896,28.00813865661621
1631723939.4720817,753664,28.249828338623047
1631724278.4376268,786432,28.223773956298828
1631724616.243025,819200,28.28019142150879
1631724965.7577891,851968,27.673198699951172
1631725302.5365584,884736,27.912784576416016
1631725640.6734667,917504,27.92879867553711
1631725978.913384,950272,27.715801239013672
1631726315.4810603,983040,27.781352996826172
1631726651.5942428,1015808,27.76164436340332
